name	task
Andreas Koenig
Jason Kohles
Andrew Rich
Bill Carr
Javier Martin
Bill Dawkins
Jeff Carnahan
Bill Randle
Jeff Fearn
Birgitt Funk
Jeff Nappi
Brent Kelly
Jochen Wiedmann
Bob Jordan
Brev Patterson
Brian Bullen
Brian Kosick
Jurgen Botz
Bruce Albrecht
Keiko
Cameron Prince
Keith Oberlin
Chen Naor
Christian Mueller
Kim Lauritz Christensen
Christopher Miller
Larry Leszczynski
Christopher Thompson
Marc Austin
Dan Browning
Mark Johnson
Dan Busarow
Mark Stosberg
Dan Helfman
Massimiliano Ciancio
Daniel Thompson
Matthew Schick
Dave Wingate
Michael McCune
David Adams
Michael Wilk
David Kelly
Mike Frager
Dennis Cronin
Neil Evans
Don Grodecki
Nelson Ferrari
Paul Jordan
Paul Vinciguerra
Ed LaFrance
Raj Goel
Ed LaFrance
Randy Moore
Frank Bonita
Ray Desjardins
Frederic Steinfels
Ron Phipps
Greg Hanson
Shozo Murahashi
Gunnar Hellekson
Sonny Cook
Hamish Bradick
Tim Baverstock
Hans-Joachim Leidinger
Tom Friedel
Heinz Wittenbecher
Tommi Laberno
Hiroyuki Cozy Kojima
Troy Davis
Jack Tsai
Victor Nolton
Jason Holt
William Dan Terry
Ed LaFrance
José Mª Revuelto
Ignacio Lizarán
Gert van der Spoel
Donald Alexander
Mark Lipscombe

