code	posted_on	posted_by	title	body
00063	20200425	jon	Project website refresh	<p>This Interchange project website has gotten a refresh to its design and organization, to prepare for the Interchange 5.12 release.</p><p>Zed Jensen and Seth Jensen updated the design with a new logo, home page banner, typeface, and more pleasant design. They also added a list of recent commits from GitHub on the home page to give prominent visibility into code changes.</p><p>I updated the site organization to combine the two separate link menu components to make navigation more consistent, and make more important pages easier to reach. The <a href="/i/dev/history">Interchange history page</a> now includes more key events from recent years, and the <a href="/i/dev/news">Interchange news page</a> once again shows history prior to 2005 that was lost in the last site reimplementation.</p><p>If you run into any problems, please let us know by opening a <a href="https://github.com/interchange/interchange/issues">GitHub issue</a>!</p>
00062	20200301	david	Interchange 5.12.0 release candidate 1	<p>The Interchange Development Group is preparing the latest release of Interchange, 5.12.0. As such, we are announcing the initial release candidate. If you are able, please test this release in a non-production environment and provide any additional feedback.</p><p>The changes in this version are extensive, and include multiple years’ worth of development, bug fixes, and improvements. For details on this release, please see the <a href="https://ftp.interchangecommerce.org/interchange/5.12/WHATSNEW">WHATSNEW file for this release</a>.</p><p>Get the <a href="https://ftp.interchangecommerce.org/interchange/5.12/tar/interchange-5.12.0-rc1.tar.gz">rc1 download</a>, <a href="https://ftp.interchangecommerce.org/interchange/5.12/tar/interchange-5.12.0-rc1.tar.gz.asc">detached signature</a> (signed by key id DF9B65B8), which have these SHA-1 sums:</p><pre>95719fea81883fa3e15ca4b35b21af2d39d57012  interchange-5.12.0-rc1.tar.gz<br>e82705c5f7b8273fb7449c8c0468aa28eeb11d36  interchange-5.12.0-rc1.tar.gz.asc</pre>
00061	20181122	jon	Domain and server move	<p>The Interchange project has moved from the icdevgroup.org domain to the interchangecommerce.org domain. The old domain was familiar and comfortable after being used for 16 years, but we decided to move because the new domain is more self-descriptive of what the Interchange software is all about: ecommerce.</p><p>Hosting for the Interchange project has also moved to a new server. The old server worked faithfully for over 11 years but its software stack had become very outdated. The new server is running Debian 9, the latest pre-release Interchange code from Git, Perl 5.24, MariaDB 10.1, current Mailman, etc.</p><p>The Interchange and related Git repositories have long been mirrored to GitHub, and for several years we have been using GitHub issues for bug reporting. Now we have made GitHub the canonical location for the repositories and retired our own Git and Gitweb services. See the <a href="/i/dev/download">download</a> page for the new URLs to use.</p><p>We have also begun serving the entire site over HTTPS and are using the Cloudflare CDN for DNS, caching, and performance.</p>
00060	20160106	david	Interchange 5.10.0 Released!	<p>The Interchange Development Group is proud to announce the immediate release of the latest major version of Interchange; Interchange 5.10.0.  This version of interchange includes the Strap template as the new default template, full Bcrypt support, additional payment gateway support, and more.</p> <p>Strap uses the latest version of the popular <a href="https://getbootstrap.com/">Bootstrap Framework</a>, which provides easy mobile-friendly (responsive) design, and allows for customization of the look and feel.</p> <p>The features of Strap include SEO-friendly category and “more” pages, better gift certificate support, checkout pages that have been revamped with usability in mind, and general catalog cleanup, among others.</p> <p>See the <a href="http://ftp.icdevgroup.org/interchange/5.10/WHATSNEW">WHATSNEW</a> file for complete details. We recommend new development be done with this version, and all users of older versions of Interchange should upgrade after testing their catalogs in a test environment.</p><p>Packages are available for <a href="/i/dev/download">download</a> now.</p>
00059	20150820	jlavin	New template for Interchange	<p>An update to the <a href="/i/dev/news?mv_arg=00053">previously announced Strap template</a> for Interchange has been released, using modern HTML5 + CSS, along with a host of other improvements.</p> <p>Strap uses the latest version of the popular <a href="https://getbootstrap.com/">Bootstrap Framework</a>, which provides easy mobile-friendly (responsive) design, and allows for customization of the look and feel.</p> <p>The features of Strap include SEO-friendly category and “more” pages, better gift certificate support, checkout pages that have been revamped with usability in mind, and general catalog cleanup, among others.</p> <p>We intend for the Strap template to replace the existing Standard template, so that Strap is the default catalog distributed with Interchange.</p> <p>Until then, you can download or clone the Strap template from GitHub: <a href="https://github.com/jdigory/strap">https://github.com/jdigory/strap</a>. Or try the <a href="/i/dev/demo">live demo</a>.</p> <p>Please get in touch if you have any suggestions or notice any issues. Thank you!</p>
00058	20150818	hexfusion	2015 Perl Dancer Conference	<p>Tickets are now on sale for the 2015 Perl Dancer Conference which is being held in Vienna, Austria October 19th - 22nd at the <a href="https://www.perl.dance/#location">Hotel Schani Wien</a>.</p><p><a href="https://www.perl.dance/tickets">https://www.perl.dance/tickets</a></p><p>Please note that the number of tickets is limited, especially for the two training days on 19th and 20th October. So we recommend to purchase a ticket as soon as possible, or at least contact the organization team at <a href="mailto:2015@perl.dance">2015@perl.dance</a>.</p><p>Sawyer X is going to do a one day Dancer training:</p><p><a href="https://www.perl.dance/talks/10-programming-the-web-with-dancer">https://www.perl.dance/talks/10-programming-the-web-with-dancer</a></p><p>You can also submit a presentation proposal here:</p><p><a href="https://www.perl.dance/talks/submit">https://www.perl.dance/talks/submit</a></p><p>Also to show off the progress with the project the conference site <a href="http://perl.dance">http://perl.dance</a> is powered by Interchange 6.  Feel free to check out the code on github <a href="https://github.com/interchange/Perl-Dancer-Conference">https://github.com/interchange/Perl-Dancer-Conference</a>.</p><p>Don’t miss the conference, we get people there from three continents and we are going to repeat the fun we had last year. We are happy to answer any questions or hear out your suggestions for the conference. <a href="mailto:2015@perl.dance">2015@perl.dance</a>, or write to the <a href="/mailman/listinfo/interchange-users">interchange-users mailing list</a>.</p><p>See you in Vienna!</p>
00057	20141013	jon	Core team changes	<p>Today the Interchange Development Group core team is pleased to announce three new members: Peter Mottram, Richard Templet, and Sam Batschelet. All three of them have been involved in the community for some time now, and have shown a genuine commitment to Interchange’s future. Welcome!</p><p>We are also retiring from the core team Mark Lipscombe and Ton Verhagen, and thank them for their past contributions.</p><p>We are grateful for everyone’s friendly mutual support which has made the Interchange community endure so well.</p>
00056	20140822	jon	Perl::Dancer Conference 2014	<p>Building on the success of last year’s Ecommerce Innovations conference, another conference is being held this year from October 6-9 at West Branch Resort in Hancock, New York. The focus has been broadened to include Modern Perl, Dancer, and DBIx::Class, in addition to Interchange.</p><p>Again there will be Interchange core developers speaking, including most of the Interchange 6 development team. We’re also pleased to announce that Sawyer X, one of the most prolific Dancer core developers and an excellent presenter, will be speaking and teaching training classes.</p><p>The call for papers is still open, and ends on September 11. We still have room for more attendees, speakers, trainers, and sponsors.</p><p>For more information, see the <a href="http://act.perl.dance/eic2014/">conference website</a>, email <a href="mailto:2014@perl.dance">2014@perl.dance</a> (fun new top-level domain, isn’t it?), or write to the <a href="/mailman/listinfo/interchange-users">interchange-users mailing list</a>.</p><p>We hope to see you there!</p>
00055	20140702	hexfusion	Interchange6::Cart Hackathon on 14 July 2014	<p>We are planning a hackathon Monday, July 14 with focus on the Interchange6::Cart. As our community has developers from many different time zones the hackathon will take place throughout the day starting at 5:30 US Eastern Time. Log into our IRC channel #interchange on freenode to follow along or chime in anytime. A full itinerary on Interchange6::Cart TODO and bullet points we wish to discuss will be send out before the end of this week to look over and think about. If you have time available on Monday to dedicate to the hackathon please contact me so we can schedule around you. These talks will be very important for the future functionality of the Interchange6::Cart a critical part of the Interchange6 project. Attendance and/or input do not require any existing knowledge of the Interchange6 code. Your help and support is always greatly appreciated!</p><p>Warm Regards,<br />Sam Batschelet (hexfusion)</p>
00054	20140707	david	Interchange 5.8.2 stable release	<p>We’re pleased to announce the immediate release of Interchange 5.8.2, the latest stable version of Interchange.</p><p>It includes all known bug and security fixes, as well as feature enhancements including Bcrypt as an option for UserDB password security. See the <a href="http://ftp.icdevgroup.org/interchange/5.8/WHATSNEW">WHATSNEW</a> file for complete details. We recommend new development be done with this version, and all users of older versions of Interchange should upgrade after testing their catalogs in a test environment.</p><p>Packages are available for <a href="/i/dev/download">download</a> now.</p>
00053	20140625	mheins	Perusion developers release two new Bootstrap based templates for use with Interchange	<p>These templates are meant to be dropped into your existing Interchange directory, and can then be chosen to be used when creating a new catalog (makecat).</p> <p><a href="http://www.perusion.com">Perusion</a> has put up demonstration sites for both versions, which are named <a href="http://demo.perusion.com/i/strap">“Strap”</a> (based on Bootstrap 2.3.2) and <a href="http://demo.perusion.com/i/strap30">“Strap30”</a> (based on Bootstrap 3.1.1). In addition, both templates are available for download or git cloning on GitHub <a href="https://github.com/perusion">here</a>.</p> <p>Both templates are vast improvements over the older “standard” template currently in use with Interchange. They both are completely <a href="http://www.w3.org/TR/html5/">HTML5</a> based, include <a href="http://jquery.com">jQuery</a> by default, have been optimized for basic SEO as well as page load speed. Both will display properly with just the Bootstrap.css file, which allows you to simply drop in future Bootstrap CSS to stay current.</p> <p>There are far too many improvements and changes to list here, so for a more in depth comparison and description of the templates, visit the <a href="/i/dev/demo">demos page</a>.</p>
00052	20140313	david	Interchange 5.8.1 stable release	<p>We’re pleased to announce the immediate release of Interchange 5.8.1, the latest stable version of Interchange.</p><p>It includes all known bug and security fixes, including an important fix to the Authorize.Net payment gateway and a session-affecting bug.  See the <a href="http://ftp.icdevgroup.org/interchange/5.8/WHATSNEW">WHATSNEW</a> file for complete details. We recommend new development be done with this version, and all users of older versions of Interchange should upgrade after testing their catalogs in a test environment.</p><p>Packages are available for <a href="/i/dev/download">download</a> now.</p>
00051	20140226	jure	Interchange 6 Hackathon	<p>A small group of IC developers will be meeting in Hancock, NY on an IC6 Hackathon. If anyone is interested in joining us, we are there from 6-13 of March.</p><p>It will be a good opportunity to learn about IC6 and exchange experiences with fellow IC developers.</p><p>Stefan Hornburg, Bill Carr, Sam Batschelet and myself have confirmed so far.</p><p>Best regards and hoping to see you there!</p><p>&mdash;Jure Kodzoman</p><p>[Postscript: For those who are afraid of the backwoods and struggling to share the nights at the firepits with us 8-), we will hang out on Freenode #interchange throughout the hackathon. &mdash;Stefan Hornburg]</p>
00050	20131030	jon	Ecommerce Innovation conference report	<p>A few weeks have passed since the Ecommerce Innovation conference took place from October 8-11 in Hancock, New York at the beautiful West Branch Angler resort. Many areas of ecommerce were covered, including new directions in Perl ecommerce with Interchange 6, new approaches using classic Interchange 5, 3rd party integration, marketing, payment solutions, and customer service.</p><p>A list of <a href="https://web.archive.org/web/20140329144310/http://act.ecommerce-innovation.com/eic2013/talks">all the conference talks</a> is available, and most have slides for viewing online too. The <a href="https://www.youtube.com/channel/UC8ZCoik2cypg7ogXwofl-Lg?feature=watch">talk videos</a> are also available.</p><p>Thanks to everyone who organized, presented talks, and attended the conference. It has already resulted in a burst of renewed activity around Interchange 6 development efforts and we look forward to seeing that bear fruit soon.</p>
00049	20130719	david	Interchange 5.8.0 stable release	<p>We’re pleased to announce the immediate release of Interchange 5.8.0, the latest stable version of Interchange.</p><p>It includes all known bug and security fixes, as well as all feature work which has been done on the 5.7.x development line.  See the <a href="http://ftp.icdevgroup.org/interchange/5.8/WHATSNEW">WHATSNEW</a> file for complete details. We recommend new development be done with this version, and all users of older versions of Interchange should upgrade after testing their catalogs in a test environment.</p><p>Packages are available for <a href="/i/dev/download">download</a> now.</p>
00048	20130318	racke	eCommerce Innovations 2013 Conference	<p>We are organizing an e-commerce conference for the Interchange community in October 2013 at the <a href="http://www.westbranchresort.com/">West Branch Resort</a> in Hancock, New York. The conference program is planned as follows:</p><ul><li>8th October: Pre-conference program (Training)</li><li>9th-10th October: Main conference</li><li>11th October: Post-conference program (Free consultations, Hackathon)</li></ul><p>The conference focuses on Open Source software and general topics regarding eCommerce (Payment / PCI-DSS, ERP, Best Practices, Usability, SEO, ...).</p><p>Speakers well known to the Interchange community are covering Interchange 5/6, Dancer, Modern Perl and modules related to eCommerce like Business::OnlinePayment. More details are coming soon.</p><p>If you are thinking about participating as an attendee, speaker, or sponsor, please let us know at <a href="mailto:conference@nite.si">conference@nite.si</a>. Space is limited, so don’t hesitate for too long :-).</p><p>Questions and feedback are welcome on the <a href="/mailman/listinfo/interchange-users">interchange-users@icdevgroup.org mailing list</a>.</p>
00047	20130213	jon	Extensive Hall of Fame updates	<p>Over the last few months we have solicited new contributions of sites to be listed in the Interchange Hall of Fame, leading to many impressive submissions with interesting ecommerce features and attractive designs. We have added those and also promoted many more sites to the top section of noteworthy sites that are accompanied by screenshots, making it easier to see the variety of Interchange sites at a glace. Finally, we have also pruned out defunct sites that accumulated naturally over time. <strong>Take a few minutes to look over the updated <a href="/i/dev/hall">Interchange Hall of Fame</a>!</strong> And please submit any other Interchange sites that we’re still missing.</p>
00046	20121228	jon	Josh Lavin joins Interchange core team	<p>After several years of quietly contributing bugfixes and participating in the mailing list, Josh Lavin was invited to join the Interchange core team and is now a committer. Josh works at <a href="http://www.perusion.com/">Perusion</a>, which recently <a href="https://twitter.com/perusion/status/282266434690768897">announced the launch</a> of Apteka Naturel, a nice ecommerce site featured in the <a href="/i/dev/hall">Interchange Hall of Fame</a>. Welcome to Josh!</p>
00045	20110612	david	Interchange 5.7.7 development release	<p>We’re pleased to announce the release of Interchange 5.7.7, the latest development version of Interchange.</p><p>It includes all known bug and security fixes, as well as a few minor new features (see the <a href="http://ftp.icdevgroup.org/interchange/5.7/WHATSNEW">WHATSNEW</a> file for details). We recommend new development be done with this version, but only experienced Interchange users should deploy it on production servers.</p><p>Packages are available for <a href="/i/dev/download">download</a> now.</p>
